Running patient: adult#002
Action space: Box(-1.0, 1.0, (1,), float32)
Action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to teacher_models/strict/adult-002/logs/ppo_simglucose_1
---------------------------------
| rollout/           |          |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.19e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.16e+13  |
|    n_updates            | 420       |
|    policy_gradient_loss | -7.15e-09 |
|    std                  | 1         |
|    value_loss           | 4.47e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.6      |
|    ep_rew_mean          | -1.96e+07 |
| time/                   |           |
|    fps                  | 122       |
|    iterations           | 44        |
|    time_elapsed         | 172       |
|    total_timesteps      | 21120     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.79e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.91e+13  |
|    n_updates            | 430       |
|    policy_gradient_loss | -3.7e-09  |
|    std                  | 1         |
|    value_loss           | 3.76e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 67.7           |
|    ep_rew_mean          | -1.97e+07      |
| time/                   |                |
|    fps                  | 122            |
|    iterations           | 45             |
|    time_elapsed         | 175            |
|    total_timesteps      | 21600          |
| train/                  |                |
|    approx_kl            | -2.1109978e-09 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | -1.19e-07      |
|    learning_rate        | 0.0003         |
|    loss                 | 1.92e+13       |
|    n_updates            | 440            |
|    policy_gradient_loss | -1.42e-09      |
|    std                  | 1              |
|    value_loss           | 3.88e+13       |
--------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68             |
|    ep_rew_mean          | -1.99e+07      |
| time/                   |                |
|    fps                  | 123            |
|    iterations           | 46             |
|    time_elapsed         | 179            |
|    total_timesteps      | 22080          |
| train/                  |                |
|    approx_kl            | -1.2417635e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 0              |
|    learning_rate        | 0.0003         |
|    loss                 | 2.53e+13       |
|    n_updates            | 450            |
|    policy_gradient_loss | -3.47e-08      |
|    std                  | 1              |
|    value_loss           | 4.81e+13       |
--------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.3      |
|    ep_rew_mean          | -2.02e+07 |
| time/                   |           |
|    fps                  | 123       |
|    iterations           | 47        |
|    time_elapsed         | 182       |
|    total_timesteps      | 22560     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 1.89e+13  |
|    n_updates            | 460       |
|    policy_gradient_loss | 7.2e-09   |
|    std                  | 1         |
|    value_loss           | 4.08e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.2          |
|    ep_rew_mean          | -2.01e+07     |
| time/                   |               |
|    fps                  | 123           |
|    iterations           | 48            |
|    time_elapsed         | 186           |
|    total_timesteps      | 23040         |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.2e+13       |
|    n_updates            | 470           |
|    policy_gradient_loss | -5.92e-08     |
|    std                  | 1             |
|    value_loss           | 4.05e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.3      |
|    ep_rew_mean          | -2.01e+07 |
| time/                   |           |
|    fps                  | 124       |
|    iterations           | 49        |
|    time_elapsed         | 189       |
|    total_timesteps      | 23520     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.79e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.07e+13  |
|    n_updates            | 480       |
|    policy_gradient_loss | -1.37e-07 |
|    std                  | 1         |
|    value_loss           | 4.08e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.4          |
|    ep_rew_mean          | -2.02e+07     |
| time/                   |               |
|    fps                  | 124           |
|    iterations           | 50            |
|    time_elapsed         | 192           |
|    total_timesteps      | 24000         |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.02e+13      |
|    n_updates            | 490           |
|    policy_gradient_loss | -2.98e-08     |
|    std                  | 1             |
|    value_loss           | 4.24e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.7          |
|    ep_rew_mean          | -2.04e+07     |
| time/                   |               |
|    fps                  | 124           |
|    iterations           | 51            |
|    time_elapsed         | 196           |
|    total_timesteps      | 24480         |
| train/                  |               |
|    approx_kl            | 1.4901163e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.07e+13      |
|    n_updates            | 500           |
|    policy_gradient_loss | -1.62e-08     |
|    std                  | 1             |
|    value_loss           | 4.34e+13      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 68.9         |
|    ep_rew_mean          | -2.05e+07    |
| time/                   |              |
|    fps                  | 125          |
|    iterations           | 52           |
|    time_elapsed         | 199          |
|    total_timesteps      | 24960        |
| train/                  |              |
|    approx_kl            | 7.202228e-09 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.19e+13     |
|    n_updates            | 510          |
|    policy_gradient_loss | -7.6e-09     |
|    std                  | 1            |
|    value_loss           | 4.45e+13     |
------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68.7           |
|    ep_rew_mean          | -2.05e+07      |
| time/                   |                |
|    fps                  | 125            |
|    iterations           | 53             |
|    time_elapsed         | 203            |
|    total_timesteps      | 25440          |
| train/                  |                |
|    approx_kl            | -6.2088173e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.19e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 2.32e+13       |
|    n_updates            | 520            |
|    policy_gradient_loss | 1.89e-08       |
|    std                  | 1              |
|    value_loss           | 4.51e+13       |
--------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.9      |
|    ep_rew_mean          | -2.06e+07 |
| time/                   |           |
|    fps                  | 125       |
|    iterations           | 54        |
|    time_elapsed         | 206       |
|    total_timesteps      | 25920     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 1.59e+13  |
|    n_updates            | 530       |
|    policy_gradient_loss | -3.68e-08 |
|    std                  | 1         |
|    value_loss           | 3.17e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.4      |
|    ep_rew_mean          | -2.09e+07 |
| time/                   |           |
|    fps                  | 125       |
|    iterations           | 55        |
|    time_elapsed         | 209       |
|    total_timesteps      | 26400     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 1.87e+13  |
|    n_updates            | 540       |
|    policy_gradient_loss | 4.02e-08  |
|    std                  | 1         |
|    value_loss           | 3.99e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 69.5           |
|    ep_rew_mean          | -2.1e+07       |
| time/                   |                |
|    fps                  | 126            |
|    iterations           | 56             |
|    time_elapsed         | 213            |
|    total_timesteps      | 26880          |
| train/                  |                |
|    approx_kl            | -1.2417635e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 5.96e-08       |
|    learning_rate        | 0.0003         |
|    loss                 | 2.25e+13       |
|    n_updates            | 550            |
|    policy_gradient_loss | -1.42e-09      |
|    std                  | 1              |
|    value_loss           | 4.63e+13       |
--------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.2      |
|    ep_rew_mean          | -2.09e+07 |
| time/                   |           |
|    fps                  | 126       |
|    iterations           | 57        |
|    time_elapsed         | 216       |
|    total_timesteps      | 27360     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 2.38e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.83e+13  |
|    n_updates            | 560       |
|    policy_gradient_loss | -1.01e-08 |
|    std                  | 1         |
|    value_loss           | 3.7e+13   |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.5      |
|    ep_rew_mean          | -2.1e+07  |
| time/                   |           |
|    fps                  | 126       |
|    iterations           | 58        |
|    time_elapsed         | 219       |
|    total_timesteps      | 27840     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.96e-08  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.67e+13  |
|    n_updates            | 570       |
|    policy_gradient_loss | -8.42e-09 |
|    std                  | 1         |
|    value_loss           | 3.61e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.4      |
|    ep_rew_mean          | -2.09e+07 |
| time/                   |           |
|    fps                  | 126       |
|    iterations           | 59        |
|    time_elapsed         | 223       |
|    total_timesteps      | 28320     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | -1.19e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 1.59e+13  |
|    n_updates            | 580       |
|    policy_gradient_loss | -1.53e-08 |
|    std                  | 1         |
|    value_loss           | 3.6e+13   |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 69.1          |
|    ep_rew_mean          | -2.07e+07     |
| time/                   |               |
|    fps                  | 127           |
|    iterations           | 60            |
|    time_elapsed         | 226           |
|    total_timesteps      | 28800         |
| train/                  |               |
|    approx_kl            | 1.1175871e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.83e+13      |
|    n_updates            | 590           |
|    policy_gradient_loss | -8.57e-08     |
|    std                  | 1             |
|    value_loss           | 3.64e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.2      |
|    ep_rew_mean          | -2.07e+07 |
| time/                   |           |
|    fps                  | 127       |
|    iterations           | 61        |
|    time_elapsed         | 229       |
|    total_timesteps      | 29280     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 1.8e+13   |
|    n_updates            | 600       |
|    policy_gradient_loss | 1.41e-08  |
|    std                  | 1         |
|    value_loss           | 3.67e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 69            |
|    ep_rew_mean          | -2.06e+07     |
| time/                   |               |
|    fps                  | 127           |
|    iterations           | 62            |
|    time_elapsed         | 233           |
|    total_timesteps      | 29760         |
| train/                  |               |
|    approx_kl            | 1.1175871e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.26e+13      |
|    n_updates            | 610           |
|    policy_gradient_loss | -5.38e-08     |
|    std                  | 1             |
|    value_loss           | 4.21e+13      |
-------------------------------------------
Eval num_timesteps=30000, episode_reward=-96001952.00 +/- 0.00
Episode length: 480.00 +/- 0.00
--------------------------------------------
| eval/                   |                |
|    mean_ep_length       | 480            |
|    mean_reward          | -9.6e+07       |
| time/                   |                |
|    total_timesteps      | 30000          |
| train/                  |                |
|    approx_kl            | -6.2088173e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.19e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 1.83e+13       |
|    n_updates            | 620            |
|    policy_gradient_loss | -4.87e-08      |
|    std                  | 1              |
|    value_loss           | 3.87e+13       |
--------------------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 68.8      |
|    ep_rew_mean     | -2.05e+07 |
| time/              |           |
|    fps             | 121       |
|    iterations      | 63        |
|    time_elapsed    | 248       |
|    total_timesteps | 30240     |
----------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.8      |
|    ep_rew_mean          | -2.05e+07 |
| time/                   |           |
|    fps                  | 121       |
|    iterations           | 64        |
|    time_elapsed         | 252       |
|    total_timesteps      | 30720     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | -1.19e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 1.74e+13  |
|    n_updates            | 630       |
|    policy_gradient_loss | -2.64e-08 |
|    std                  | 1         |
|    value_loss           | 3.8e+13   |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68.5           |
|    ep_rew_mean          | -2.04e+07      |
| time/                   |                |
|    fps                  | 122            |
|    iterations           | 65             |
|    time_elapsed         | 255            |
|    total_timesteps      | 31200          |
| train/                  |                |
|    approx_kl            | -1.3659398e-09 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 0              |
|    learning_rate        | 0.0003         |
|    loss                 | 1.81e+13       |
|    n_updates            | 640            |
|    policy_gradient_loss | -2.08e-08      |
|    std                  | 1              |
|    value_loss           | 3.48e+13       |
--------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68.3           |
|    ep_rew_mean          | -2.02e+07      |
| time/                   |                |
|    fps                  | 122            |
|    iterations           | 66             |
|    time_elapsed         | 258            |
|    total_timesteps      | 31680          |
| train/                  |                |
|    approx_kl            | -7.4505807e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 5.96e-08       |
|    learning_rate        | 0.0003         |
|    loss                 | 2.37e+13       |
|    n_updates            | 650            |
|    policy_gradient_loss | -3.64e-08      |
|    std                  | 1              |
|    value_loss           | 4.27e+13       |
--------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68.5           |
|    ep_rew_mean          | -2.02e+07      |
| time/                   |                |
|    fps                  | 122            |
|    iterations           | 67             |
|    time_elapsed         | 262            |
|    total_timesteps      | 32160          |
| train/                  |                |
|    approx_kl            | -1.4901161e-09 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.79e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 1.89e+13       |
|    n_updates            | 660            |
|    policy_gradient_loss | 3.13e-08       |
|    std                  | 1              |
|    value_loss           | 3.86e+13       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.4          |
|    ep_rew_mean          | -2.02e+07     |
| time/                   |               |
|    fps                  | 122           |
|    iterations           | 68            |
|    time_elapsed         | 265           |
|    total_timesteps      | 32640         |
| train/                  |               |
|    approx_kl            | 2.7318796e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.14e+13      |
|    n_updates            | 670           |
|    policy_gradient_loss | -8.04e-08     |
|    std                  | 1             |
|    value_loss           | 4.05e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.2      |
|    ep_rew_mean          | -2.02e+07 |
| time/                   |           |
|    fps                  | 123       |
|    iterations           | 69        |
|    time_elapsed         | 268       |
|    total_timesteps      | 33120     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 1.7e+13   |
|    n_updates            | 680       |
|    policy_gradient_loss | -1.05e-08 |
|    std                  | 1         |
|    value_loss           | 3.62e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.9      |
|    ep_rew_mean          | -1.99e+07 |
| time/                   |           |
|    fps                  | 123       |
|    iterations           | 70        |
|    time_elapsed         | 272       |
|    total_timesteps      | 33600     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 0         |
|    learning_rate        | 0.0003    |
|    loss                 | 2.14e+13  |
|    n_updates            | 690       |
|    policy_gradient_loss | -1e-08    |
|    std                  | 1         |
|    value_loss           | 4.36e+13  |
---------------------------------------
